Sample	Total Reads	Total Passed QC	Mapped	Duplicates	Paired in Sequencing	Properly Paired	Self and mate mapped	Singletons	Mate mapped to diff chr	Diff chr (mapQ >= 5)
REF0009-mgg-pbdrep | M301516.lib1	100.0	100.0	57.66797381442418	0.0	100.0	53.28762475896946	56.736986318842064	0.9309874955821072	0.8387638608064394	0.3195054699988371
REF0009-mgg-pbdrep | M301517.lib1	100.0	100.0	1.3472937934786144	0.0	100.0	1.1990858588994238	1.3114022250407253	0.03589156843788896	0.034088120600400305	0.01187023453691303
REF0009-mgg-pbdrep | M301518.lib1	100.0	100.0	20.610922010571358	0.0	100.0	18.90602289947492	20.30620546689125	0.3047165436801055	0.31006928414992024	0.11235627840567088
REF0009-mgg-pbdrep | M301519.lib1	100.0	100.0	31.001816699917534	0.0	100.0	27.93996197856201	30.39027746521945	0.6115392346980827	0.5939217043020253	0.23839964065342348
REF0009-mgg-pbdrep | M301520.lib1	100.0	100.0	1.618290643943741	0.0	100.0	1.4197313335156467	1.5839628626415188	0.03432778130222228	0.048710572380689494	0.014377458193380653
REF0009-mgg-pbdrep | M301521.lib1	100.0	100.0	77.63749912176847	0.0	100.0	70.1609907264557	76.47725510985588	1.1602440119125936	1.5010355873931824	0.6026990885553511
REF0009-mgg-pbdrep | M301522.lib1	100.0	100.0	86.16966291681508	0.0	100.0	80.91639087447737	85.16940470385624	1.0002582129588324	1.3449624265562807	0.6715302057288695
REF0009-mgg-pbdrep | M301523.lib1	100.0	100.0	86.13610663021942	0.0	100.0	78.9726439734841	85.00741982159879	1.128686808620622	1.9402560379081581	0.9772621055230983
REF0009-mgg-pbdrep | M301524.lib1	100.0	100.0	85.91332993277226	0.0	100.0	76.54886502622172	84.75267804618775	1.1606518865844944	2.3266599003245605	1.0697785811813934
REF0009-mgg-pbdrep | M301525.lib1	100.0	100.0	24.360396588781807	0.0	100.0	21.77147611453928	23.92890984307472	0.4314867457070882	0.5410339966257598	0.22025006355589455
REF0009-mgg-pbdrep | M301526.lib1	100.0	100.0	86.02689847007545	0.0	100.0	77.14356741997656	84.84061055263722	1.1862879174382426	2.436884314021894	1.2025205333635665
REF0009-mgg-pbdrep | M301527.lib1	100.0	100.0	85.72077493393672	0.0	100.0	79.67044749674994	84.62286490586145	1.0979100280752703	1.6725688913494068	0.8620848485661973
REF0009-mgg-pbdrep | M301528.lib1	100.0	100.0	85.68284806861149	0.0	100.0	77.63319574712226	84.54589939810882	1.136948670502677	2.0989992125150807	1.0202351244557886
REF0009-mgg-pbdrep | M301529.lib1	100.0	100.0	1.0890960610845537	0.0	100.0	0.9654416589157346	1.0627789434218022	0.026317117662751542	0.028840676890686624	0.014420338445343312
REF0009-mgg-pbdrep | M301530.lib1	100.0	100.0	85.9645138924996	0.0	100.0	78.40368755880789	84.76235112483458	1.20216276766501	2.268763386395313	1.2138168984319573
REF0009-mgg-pbdrep | M301531.lib1	100.0	100.0	86.13505446249277	0.0	100.0	77.94711956979427	84.96304692731744	1.1720075351753352	2.201593411270068	1.0805762076343415
REF0009-mgg-pbdrep | M301532.lib1	100.0	100.0	85.29793542579195	0.0	100.0	75.11010059549564	83.90204411319993	1.3958913125920107	2.3977248231334696	1.1105920958748912
REF0009-mgg-pbdrep | M301533.lib1	100.0	100.0	44.093000933715686	0.0	100.0	39.70691305990273	43.27926652237235	0.8137344113433389	0.8840600714185588	0.32620652460566546
